id,su,plot,site,longitude,latitude,geometry,species,inventory_date,soil_sampling_date,agb,bgb,total_biomass,cagb,cbgb,soil_carbon_stock,total_carbon_stock,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,VV,VH
SU8P2,8,P2,Sassandra,-6.100852459677928,4.963489983323058,"POLYGON ((-6.10096476938484 4.963569179521616, -6.100789853786404 4.963612526173688, -6.100740149996541 4.963410787122626, -6.1009150655296045 4.963367440454261, -6.10096476938484 4.963569179521616))",Palétuvier blanc (Laguncularia racemosa),2025-02-09,2025-02-18,811.102,362.29,1173.392,405.551,141.293,626.012,1172.857,0.0401000007987022,0.057023390224677,0.0824132191995948,0.0671503387202145,0.1182083067815687,0.2371703417624457,0.2831366890820406,0.2799925435397585,0.306976945167881,0.2894000113010406,0.1494501721682185,0.0780046623957864,-8.480152500793698,-14.612694664685858
SU8P3,8,P3,Sassandra,-6.100797056005407,4.963265109593247,"POLYGON ((-6.10090936567771 4.963344305775543, -6.100734450152142 4.963387652445774, -6.100684746358623 4.9631859134090766, -6.100859661818819 4.963142566722552, -6.10090936567771 4.963344305775543))","Palétuvier rouge (Rhizophora mangle), Palétuvier blanc (Laguncularia racemosa)",2025-02-09,2025-02-18,53.083,26.912,79.995,26.541,10.496,777.54,814.578,0.0410815417217713,0.0588243019614908,0.080569770442642,0.0675250633756151,0.122757917688016,0.2533108332367089,0.303671297231637,0.2879060170440528,0.3273503888622369,0.2918129646101813,0.1563994905562041,0.0831397965323309,-8.453951177252629,-14.995023048122064
SU8P4,8,P4,Sassandra,-6.100744146948963,4.96305036110028,"POLYGON ((-6.100856456588219 4.9631295572670435, -6.100681541132239 4.963172903954619, -6.100631837335227 4.96297116493164, -6.100806752725838 4.962927818227778, -6.100856456588219 4.9631295572670435))","Palétuvier rouge (Rhizophora mangle), Palétuvier blanc (Laguncularia racemosa)",2025-02-09,2025-02-18,220.786,59.487,280.273,110.393,23.2,842.352,975.945,0.0472999997437,0.0576455928132695,0.0857542393255536,0.0694861026196661,0.1232679667046009,0.2529583894095178,0.3011830513002508,0.3025323783189562,0.3305263622837551,0.3070999979972839,0.1562960137628902,0.0825512735078395,-6.352377554984474,-12.4532044383022
SU8P5,8,P5,Sassandra,-6.100689148087226,4.9628271304890905,"POLYGON ((-6.100801457692134 4.962906326639709, -6.100626542308486 4.962949673345313, -6.1005768385078385 4.962747934336601, -6.100751753826119 4.962704587614704, -6.100801457692134 4.962906326639709))","Palétuvier rouge (Rhizophora mangle), Palétuvier blanc (Laguncularia racemosa)",2025-02-09,2025-02-18,530.748,214.173,744.922,265.375,83.528,809.02,1157.922,0.0472999997437,0.0615664128239334,0.0899224194513662,0.0717340111795516,0.1286048232223177,0.2631418774071482,0.3102934026929933,0.3074712341559921,0.3381424793585907,0.3070999979972839,0.1620538885344305,0.0859016077923895,-7.043505513933353,-13.14549530055655
SU9P1,9,P1,Sassandra,-6.101479079981395,4.96396062299795,"POLYGON ((-6.101346443057845 4.96399617490141, -6.101425556928057 4.963833825090366, -6.101611716896397 4.963925071067035, -6.101532603034909 4.964087420920362, -6.101346443057845 4.96399617490141))",Palétuvier rouge (Rhizophora mangle),2025-02-11,2025-02-18,293.826,137.036,430.863,146.913,53.444,705.628,905.985,0.0352519485215514,0.0518453388395956,0.0761413568283541,0.0616830512281444,0.1096010177254171,0.2390772071809082,0.2924872937596451,0.2930122070645882,0.3271429768810838,0.2817835605498087,0.1448444104043104,0.0709299144287735,-5.932049184364445,-12.58681082336724
SU9P2,9,P2,Sassandra,-6.101683415722532,4.964060777782333,"POLYGON ((-6.10155077876284 4.9640963297215395, -6.1016298926234755 4.963933979864081, -6.1018160526736756 4.96402522581567, -6.101736938821765 4.9641875757154095, -6.10155077876284 4.9640963297215395))","Palétuvier blanc (Laguncularia racemosa), Palétuvier rouge (Rhizophora mangle)",2025-02-11,2025-02-18,232.883,112.859,345.743,116.442,44.015,242.288,402.745,0.0329000018537044,0.0514781543201152,0.074355125042415,0.0601819641131097,0.1063514822411093,0.2323461495068596,0.2888966944134911,0.2844293051912662,0.3155958503358551,0.2933000028133392,0.1395933089823565,0.0690182891944825,-6.129833194013598,-12.197283933811416
SU9P3,9,P3,Sassandra,-6.101882224065478,4.964158223254049,"POLYGON ((-6.101749587070622 4.964193775228038, -6.101828700921938 4.964031425325425, -6.102014861051784 4.964122671252604, -6.101935747209194 4.964285021197506, -6.101749587070622 4.964193775228038))",Palétuvier rouge (Rhizophora mangle),2025-02-11,2025-02-18,411.21,196.353,607.564,205.605,76.578,220.662,502.845,0.0329455026885548,0.0505484727532278,0.0755180835293792,0.0603664680613372,0.1047226662900937,0.2386025450174998,0.2981412658161137,0.2884696111310722,0.3188218101985587,0.2926276767901532,0.14549932048256,0.0721524622550642,-7.559830339567857,-14.360166887727493
SU9P4,9,P4,Sassandra,-6.102085047938734,4.964257636859287,"POLYGON ((-6.101952410908005 4.964293188868764, -6.1020315247498145 4.9641308389200764, -6.102217684960913 4.964222084822353, -6.102138571127836 4.964384434813322, -6.101952410908005 4.964293188868764))","Palétuvier blanc (Laguncularia racemosa), Palétuvier rouge (Rhizophora mangle)",2025-02-11,2025-02-18,145.983,68.937,214.921,72.992,26.886,562.464,662.341,0.0329910094760503,0.0492687869320945,0.0699845642180034,0.0588464802786695,0.104556744088805,0.2489878700459984,0.3073127200484175,0.294725020650689,0.3299860885276746,0.2349847319952202,0.1528514837743469,0.0746351156930381,-7.683053921117734,-15.126703260506188
SU9P5,9,P5,Sassandra,-6.102291080144048,4.964358622948107,"POLYGON ((-6.102158443076881 4.964394174993632, -6.102237556909025 4.964231824998149, -6.102423717202662 4.964323070875126, -6.102344603379249 4.964485420912889, -6.102158443076881 4.964394174993632))",Palétuvier rouge (Rhizophora mangle),2025-02-11,2025-02-18,48.322,23.506,71.828,24.161,9.167,740.962,774.29,0.0325454222796074,0.0486371186419816,0.0697917788589404,0.0570327961627962,0.0965171176750781,0.2119320349673092,0.2651495727189516,0.279919831101167,0.2785165275178723,0.1866866889267654,0.1274220317349595,0.0633516094852554,-5.325163086067573,-13.127098062260348
SU10P1,10,P1,Sassandra,-6.06083734463775,4.96963012392491,"POLYGON ((-6.060700066315388 4.9696284515433575, -6.060819933671557 4.9694935484438245, -6.060974622967657 4.969631796285304, -6.060854755584779 4.969766699416388, -6.060700066315388 4.9696284515433575))",Palétuvier rouge (Rhizophora mangle),2025-02-13,2025-03-08,25.618,6.002,31.619,12.809,2.34,2401.376,2416.525,0.0302000008523464,0.0444111201931139,0.0695032233558911,0.0546513577584803,0.1025436349554661,0.1985815803572561,0.2376494013494061,0.248417148919988,0.2538469533968863,0.2307000011205673,0.1309354830349847,0.0697606105123392,-8.06389714095484,-15.25302776318464
SU10P2,10,P2,Sassandra,-6.061002610786952,4.969777824433147,"POLYGON ((-6.060865332413432 4.969776152067695, -6.060985199798136 4.969641248934455, -6.061139889168018 4.969779496777444, -6.06102002175661 4.969914399942232, -6.060865332413432 4.969776152067695))",Palétuvier rouge (Rhizophora mangle),2025-02-13,2025-03-08,38.943,7.076,46.019,19.471,2.759,2231.378,2253.609,0.028276037964197,0.0449038107676792,0.0679383570301542,0.0539361560065851,0.1024487720870244,0.2017412332030901,0.2305404732885449,0.2259236228960636,0.2449565699401293,0.2210343789741409,0.1234434343098483,0.0637259958950671,-7.577236969564096,-14.470872094470872
